,Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event,Km/h
6088,1,00:00:09.580000,Usain Bolt,JAM,1986-08-21,1.0,Berlin,2009-08-16,Men,100 m,37.578288100208766
6089,2,00:00:09.630000,Usain Bolt,JAM,1986-08-21,1.0,London,2012-08-05,Men,100 m,37.38317757009345
6090,3,00:00:09.690000,Usain Bolt,JAM,1986-08-21,1.0,Beijing,2008-08-16,Men,100 m,37.15170278637771
6091,3,00:00:09.690000,Tyson Gay,USA,1982-08-09,1.0,Shanghai,2009-09-20,Men,100 m,37.15170278637771
6092,3,00:00:09.690000,Yohan Blake,JAM,1989-12-26,1.0,Lausanne,2012-08-23,Men,100 m,37.15170278637771
6093,6,00:00:09.710000,Tyson Gay,USA,1982-08-09,2.0,Berlin,2009-08-16,Men,100 m,37.075180226570545
6094,7,00:00:09.720000,Usain Bolt,JAM,1986-08-21,1.0,New York City,2008-05-31,Men,100 m,37.03703703703704
6095,7,00:00:09.720000,Asafa Powell,JAM,1982-11-23,1.0,Lausanne,2008-09-02,Men,100 m,37.03703703703704
6096,9,00:00:09.740000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2007-09-09,Men,100 m,36.96098562628337
6097,9,00:00:09.740000,Justin Gatlin,USA,1982-02-10,1.0,Ad-Dawhah,2015-05-15,Men,100 m,36.96098562628337
6101,11,00:00:09.750000,Justin Gatlin,USA,1982-02-10,1.0,Lausanne,2015-07-09,Men,100 m,36.92307692307692
6100,11,00:00:09.750000,Justin Gatlin,USA,1982-02-10,1.0,Roma,2015-06-04,Men,100 m,36.92307692307692
6098,11,00:00:09.750000,Yohan Blake,JAM,1989-12-26,1.0,Kingston,2012-06-29,Men,100 m,36.92307692307692
6099,11,00:00:09.750000,Yohan Blake,JAM,1989-12-26,2.0,London,2012-08-05,Men,100 m,36.92307692307692
6102,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Kingston,2008-05-03,Men,100 m,36.885245901639344
6103,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Bruxelles,2011-09-16,Men,100 m,36.885245901639344
6104,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Roma,2012-05-31,Men,100 m,36.885245901639344
6105,15,00:00:09.760000,Yohan Blake,JAM,1989-12-26,1.0,Zürich,2012-08-30,Men,100 m,36.885245901639344
6112,19,00:00:09.770000,Tyson Gay,USA,1982-08-09,1.0,Roma,2009-07-10,Men,100 m,36.8474923234391
6114,19,00:00:09.770000,Justin Gatlin,USA,1982-02-10,1.0,Bruxelles,2014-09-05,Men,100 m,36.8474923234391
6113,19,00:00:09.770000,Usain Bolt,JAM,1986-08-21,1.0,Moskva,2013-08-11,Men,100 m,36.8474923234391
6111,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2008-09-07,Men,100 m,36.8474923234391
6115,19,00:00:09.770000,Justin Gatlin,USA,1982-02-10,1.0,Beijing,2015-08-23,Men,100 m,36.8474923234391
6109,19,00:00:09.770000,Tyson Gay,USA,1982-08-09,1.0,Eugene,2008-06-28,Men,100 m,36.8474923234391
6108,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Zürich,2006-08-18,Men,100 m,36.8474923234391
6107,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Gateshead,2006-06-11,Men,100 m,36.8474923234391
6106,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Athínai,2005-06-14,Men,100 m,36.8474923234391
6110,19,00:00:09.770000,Usain Bolt,JAM,1986-08-21,1.0,Bruxelles,2008-09-05,Men,100 m,36.8474923234391
6116,29,00:00:09.780000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2007-09-09,Men,100 m,36.809815950920246
6117,29,00:00:09.780000,Tyson Gay,USA,1982-08-09,1.0,London,2010-08-13,Men,100 m,36.809815950920246
6118,29,00:00:09.780000,Nesta Carter,JAM,1985-11-10,1.0,Rieti,2010-08-29,Men,100 m,36.809815950920246
6119,29,00:00:09.780000,Asafa Powell,JAM,1982-11-23,1.0,Lausanne,2011-06-30,Men,100 m,36.809815950920246
6120,29,00:00:09.780000,Justin Gatlin,USA,1982-02-10,1.0,Monaco,2015-07-17,Men,100 m,36.809815950920246
6127,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Beijing,2015-08-23,Men,100 m,36.77221654749745
6125,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Oslo,2012-06-07,Men,100 m,36.77221654749745
6124,34,00:00:09.790000,Tyson Gay,USA,1982-08-09,1.0,Clermont,2011-06-04,Men,100 m,36.77221654749745
6126,34,00:00:09.790000,Justin Gatlin,USA,1982-02-10,3.0,London,2012-08-05,Men,100 m,36.77221654749745
6122,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Saint-Denis,2009-07-17,Men,100 m,36.77221654749745
6121,34,00:00:09.790000,Maurice Greene,USA,1974-07-23,1.0,Athínai,1999-06-16,Men,100 m,36.77221654749745
6123,34,00:00:09.790000,Tyson Gay,USA,1982-08-09,1.0,Bruxelles,2010-08-27,Men,100 m,36.77221654749745
6134,41,00:00:09.800000,Justin Gatlin,USA,1982-02-10,1.0,Eugene,2016-07-03,Men,100 m,36.73469387755102
6132,41,00:00:09.800000,Justin Gatlin,USA,1982-02-10,1.0,Lausanne,2014-07-03,Men,100 m,36.73469387755102
6131,41,00:00:09.800000,Usain Bolt,JAM,1986-08-21,1.0,Bruxelles,2013-09-06,Men,100 m,36.73469387755102
6133,41,00:00:09.800000,Justin Gatlin,USA,1982-02-10,2.0,Beijing,2015-08-23,Men,100 m,36.73469387755102
6129,41,00:00:09.800000,Steve Mullings,JAM,1982-11-29,1.0,Eugene,2011-06-04,Men,100 m,36.73469387755102
6128,41,00:00:09.800000,Maurice Greene,USA,1974-07-23,1.0,Sevilla,1999-08-22,Men,100 m,36.73469387755102
6130,41,00:00:09.800000,Justin Gatlin,USA,1982-02-10,1.0,Eugene,2012-06-24,Men,100 m,36.73469387755102
6135,48,00:00:09.810000,Usain Bolt,JAM,1986-08-21,1.0,Zürich,2009-08-28,Men,100 m,36.69724770642202
6136,48,00:00:09.810000,Asafa Powell,JAM,1982-11-23,1.0,Saint-Denis,2015-07-04,Men,100 m,36.69724770642202
6137,48,00:00:09.810000,Usain Bolt,JAM,1986-08-21,1.0,Rio de Janeiro,2016-08-14,Men,100 m,36.69724770642202
6146,51,00:00:09.820000,Usain Bolt,JAM,1986-08-21,1.0,Kingston,2012-05-05,Men,100 m,36.65987780040733
6149,51,00:00:09.820000,Justin Gatlin,USA,1982-02-10,1.0,Linz,2014-07-14,Men,100 m,36.65987780040733
6148,51,00:00:09.820000,Richard Thompson,TTO,1985-06-07,1.0,Port of Spain,2014-06-21,Men,100 m,36.65987780040733
6147,51,00:00:09.820000,Justin Gatlin,USA,1982-02-10,1.0,London,2012-08-05,Men,100 m,36.65987780040733
6144,51,00:00:09.820000,Yohan Blake,JAM,1989-12-26,1.0,Zürich,2011-09-08,Men,100 m,36.65987780040733
6145,51,00:00:09.820000,Yohan Blake,JAM,1989-12-26,1.0,Berlin,2011-09-11,Men,100 m,36.65987780040733
6142,51,00:00:09.820000,Asafa Powell,JAM,1982-11-23,1.0,Roma,2010-06-10,Men,100 m,36.65987780040733
6143,51,00:00:09.820000,Usain Bolt,JAM,1986-08-21,1.0,Lausanne,2010-07-08,Men,100 m,36.65987780040733
6141,51,00:00:09.820000,Asafa Powell,JAM,1982-11-23,1.0,Szczecin,2009-09-15,Men,100 m,36.65987780040733
6140,51,00:00:09.820000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2008-09-07,Men,100 m,36.65987780040733
6139,51,00:00:09.820000,Asafa Powell,JAM,1982-11-23,1.0,Monaco,2008-07-29,Men,100 m,36.65987780040733
6138,51,00:00:09.820000,Maurice Greene,USA,1974-07-23,1.0,Edmonton,2001-08-05,Men,100 m,36.65987780040733
6155,63,00:00:09.830000,Justin Gatlin,USA,1982-02-10,1.0,Eugene,2016-07-03,Men,100 m,36.622583926754835
6154,63,00:00:09.830000,Justin Gatlin,USA,1982-02-10,1.0,Rieti,2014-09-07,Men,100 m,36.622583926754835
6153,63,00:00:09.830000,Asafa Powell,JAM,1982-11-23,1.0,Ostrava,2010-05-27,Men,100 m,36.622583926754835
6151,63,00:00:09.830000,Usain Bolt,JAM,1986-08-21,1.0,Zürich,2008-08-29,Men,100 m,36.622583926754835
6150,63,00:00:09.830000,Asafa Powell,JAM,1982-11-23,1.0,Stuttgart,2007-09-22,Men,100 m,36.622583926754835
6152,63,00:00:09.830000,Asafa Powell,JAM,1982-11-23,2.0,Bruxelles,2008-09-05,Men,100 m,36.622583926754835
6164,69,00:00:09.840000,Tyson Gay,USA,1982-08-09,1.0,Stockholm,2010-08-06,Men,100 m,36.58536585365854
6169,69,00:00:09.840000,Trayvon Bromell,USA,1995-07-10,2.0,Eugene,2016-07-03,Men,100 m,36.58536585365854
6168,69,00:00:09.840000,Asafa Powell,JAM,1982-11-23,1.0,Kingston,2015-06-26,Men,100 m,36.58536585365854
6167,69,00:00:09.840000,Trayvon Bromell,USA,1995-07-10,1.0,Eugene,2015-06-25,Men,100 m,36.58536585365854
6166,69,00:00:09.840000,Asafa Powell,JAM,1982-11-23,1.0,Kingston,2015-05-09,Men,100 m,36.58536585365854
6165,69,00:00:09.840000,Yohan Blake,JAM,1989-12-26,1.0,Georgetown,2012-05-09,Men,100 m,36.58536585365854
6163,69,00:00:09.840000,Usain Bolt,JAM,1986-08-21,1.0,Saint-Denis,2010-07-16,Men,100 m,36.58536585365854
6161,69,00:00:09.840000,Asafa Powell,JAM,1982-11-23,1.0,Bruxelles,2007-09-14,Men,100 m,36.58536585365854
6160,69,00:00:09.840000,Tyson Gay,USA,1982-08-09,1.0,Indianapolis,2007-06-22,Men,100 m,36.58536585365854
6159,69,00:00:09.840000,Tyson Gay,USA,1982-08-09,2.0,Zürich,2006-08-18,Men,100 m,36.58536585365854
6158,69,00:00:09.840000,Asafa Powell,JAM,1982-11-23,1.0,Kingston,2005-05-07,Men,100 m,36.58536585365854
6157,69,00:00:09.840000,Bruny Surin,CAN,1967-07-12,2.0,Sevilla,1999-08-22,Men,100 m,36.58536585365854
6156,69,00:00:09.840000,Donovan Bailey,CAN,1967-12-16,1.0,Atlanta,1996-07-27,Men,100 m,36.58536585365854
6162,69,00:00:09.840000,Asafa Powell,JAM,1982-11-23,3.0,Berlin,2009-08-16,Men,100 m,36.58536585365854
6182,83,00:00:09.850000,Nesta Carter,JAM,1985-11-10,2.0,Bruxelles,2010-08-27,Men,100 m,36.54822335025381
6189,83,00:00:09.850000,Usain Bolt,JAM,1986-08-21,1.0,London,2013-07-26,Men,100 m,36.54822335025381
6188,83,00:00:09.850000,Yohan Blake,JAM,1989-12-26,1.0,London,2012-08-05,Men,100 m,36.54822335025381
6187,83,00:00:09.850000,Yohan Blake,JAM,1989-12-26,1.0,Luzern,2012-07-17,Men,100 m,36.54822335025381
6190,83,00:00:09.850000,Justin Gatlin,USA,1982-02-10,2.0,Moskva,2013-08-11,Men,100 m,36.54822335025381
6186,83,00:00:09.850000,Asafa Powell,JAM,1982-11-23,2.0,Oslo,2012-06-07,Men,100 m,36.54822335025381
6185,83,00:00:09.850000,Usain Bolt,JAM,1986-08-21,1.0,Zagreb,2011-09-13,Men,100 m,36.54822335025381
6184,83,00:00:09.850000,Richard Thompson,TTO,1985-06-07,1.0,Port of Spain,2011-08-13,Men,100 m,36.54822335025381
6183,83,00:00:09.850000,Mike Rodgers,USA,1985-04-24,2.0,Eugene,2011-06-04,Men,100 m,36.54822335025381
6181,83,00:00:09.850000,Asafa Powell,JAM,1982-11-23,2.0,Shanghai,2009-09-20,Men,100 m,36.54822335025381
6173,83,00:00:09.850000,Asafa Powell,JAM,1982-11-23,1.0,Ostrava,2005-06-09,Men,100 m,36.54822335025381
6179,83,00:00:09.850000,Usain Bolt,JAM,1986-08-21,1.0,Kingston,2008-06-28,Men,100 m,36.54822335025381
6178,83,00:00:09.850000,Tyson Gay,USA,1982-08-09,2.0,New York City,2008-05-31,Men,100 m,36.54822335025381
6177,83,00:00:09.850000,Tyson Gay,USA,1982-08-09,1.0,Osaka,2007-08-26,Men,100 m,36.54822335025381
6176,83,00:00:09.850000,Asafa Powell,JAM,1982-11-23,1.0,Roma,2006-07-14,Men,100 m,36.54822335025381
6175,83,00:00:09.850000,Asafa Powell,JAM,1982-11-23,1.0,Saint-Denis,2006-07-08,Men,100 m,36.54822335025381
